id,winner,votesone,votestwo
15-14C,O,84,70
15-14D,O,72,16
15-14E,T,153,47
15-14F,T,104,67
15-14G,T,141,35
15-15,T,119,49
15-15A,T,109,84
15-15B,T,47,96
15-16,O,147,100
15-17,T,105,114
15-17A,O,74,103
15-17B,T,69,94
15-18,T,56,68
15-18A,T,95,96
15-18B,T,147,48
15-18C,O,81,130
15-18D,O,319,123
15-18E,O,206,193
15-18F,O,155,149
15-19,T,183,22
15-19A,T,124,191
15-19B,T,123,16
15-19C,T,265,49
16-1,T,38,78
16-1A,T,45,59
16-2,O,16,114
16-3,T,35,85
16-4,O,56,112
16-5,O,36,133
16-6,O,74,104
16-7,T,25,97
16-8,O,23,132
16-9,O,58,19
17-1,T,31,75
17-2,T,41,57
17-3,O,89,40
17-4,O,60,49
17-5,O,63,53
17-6,T,106,27
17-7,O,98,61
17-8,O,92,12
17-9,T,113,26
17-10,O,84,46
17-11,T,107,21
17-12,O,84,10
17-13,T,102,30
17-13A,T,101,15
17-14,T,130,31
17-15,T,115,34
17-16,T,120,38
17-17,O,16,136
17-18,O,22,106
17-18A,O,25,102
17-19,T,18,95
17-20,O,31,150
