id,winner,votesone,votestwo
15-14C,T,0,0
15-14D,T,0,0
15-14E,T,0,0
15-14F,T,0,0
15-14G,T,0,0
15-15,T,0,0
15-15A,T,0,0
15-15B,T,0,0
15-16,T,0,0
15-17,T,0,0
15-17A,T,0,0
15-17B,T,0,0
15-18,T,0,0
15-18A,T,0,0
15-18B,T,0,0
15-18C,T,0,0
15-18D,T,0,0
15-18E,T,0,0
15-18F,T,0,0
15-19,T,0,0
15-19A,T,0,0
15-19B,T,0,0
15-19C,T,0,0
16-1,T,0,0
16-1A,T,0,0
16-2,T,0,0
16-3,T,0,0
16-4,T,0,0
16-5,T,0,0
16-6,T,0,0
16-7,T,0,0
16-8,T,0,0
16-9,T,0,0
17-1,T,0,0
17-2,T,0,0
17-3,T,0,0
17-4,T,0,0
17-5,T,0,0
17-6,T,0,0
17-7,T,0,0
17-8,T,0,0
17-9,T,0,0
17-10,T,0,0
17-11,T,0,0
17-12,T,0,0
17-13,T,0,0
17-13A,T,0,0
17-14,T,0,0
17-15,T,0,0
17-16,T,0,0
17-17,T,0,0
17-18,T,0,0
17-18A,T,0,0
17-19,T,0,0
17-20,T,0,0
