id,winner,votesone,votestwo
15-14C,O,97,83
15-14D,O,53,35
15-14E,T,143,68
15-14F,T,84,91
15-14G,T,125,70
15-15,T,112,65
15-15A,T,125,96
15-15B,T,63,91
15-16,O,148,133
15-17,O,125,118
15-17A,O,89,84
15-17B,O,99,95
15-18,O,69,54
15-18A,T,103,115
15-18B,T,107,116
15-18C,T,116,124
15-18D,O,256,198
15-18E,T,192,254
15-18F,O,163,145
15-19,T,167,58
15-19A,T,163,192
15-19B,O,85,63
15-19C,T,228,98
16-1,T,60,70
16-1A,T,55,65
16-2,T,66,88
16-3,T,69,81
16-4,T,72,96
16-5,O,76,109
16-6,T,117,76
16-7,T,50,85
16-8,O,68,106
16-9,O,57,34
17-1,T,63,68
17-2,O,69,57
17-3,O,95,58
17-4,O,60,50
17-5,O,77,67
17-6,O,93,54
17-7,O,89,82
17-8,O,68,42
17-9,T,106,47
17-10,O,77,67
17-11,O,89,53
17-12,O,73,32
17-13,O,85,55
17-13A,O,69,49
17-14,T,124,63
17-15,O,98,62
17-16,T,102,58
17-17,T,67,88
17-18,O,75,116
17-18A,T,64,98
17-19,T,65,90
17-20,T,109,113
