id,winner,votesone,votestwo
15-14C,T,72,97
15-14D,T,26,57
15-14E,O,50,149
15-14F,O,55,117
15-14G,O,50,134
15-15,O,60,105
15-15A,T,107,137
15-15B,O,84,81
15-16,T,116,157
15-17,O,138,108
15-17A,T,100,92
15-17B,T,116,95
15-18,T,56,68
15-18A,O,120,115
15-18B,O,52,155
15-18C,O,143,113
15-18D,T,139,303
15-18E,T,214,259
15-18F,T,141,183
15-19,O,25,179
15-19A,O,214,193
15-19B,O,24,109
15-19C,O,50,247
16-1,T,49,63
16-1A,T,44,69
16-2,O,91,60
16-3,O,74,61
16-4,T,65,71
16-5,O,94,61
16-6,O,83,109
16-7,O,71,60
16-8,O,87,82
16-9,T,22,59
17-1,T,53,54
17-2,T,50,53
17-3,T,37,96
17-4,T,37,71
17-5,T,61,67
17-6,O,28,102
17-7,T,46,96
17-8,T,26,70
17-9,O,25,124
17-10,T,54,89
17-11,O,20,113
17-12,T,25,70
17-13,O,26,109
17-13A,T,18,92
17-14,O,19,159
17-15,O,34,125
17-16,O,27,126
17-17,T,120,77
17-18,T,131,73
17-18A,T,125,62
17-19,T,117,65
17-20,T,173,92
