33,SDER (NOSD),DRCES10C002-00312,7628 Burke Avenue,7628 BURKE RD,41090380,1,6/6/2012,6/13/2012,"(30.0411355100001, -89.991673493999897)"
34,SDER (NOSD),DRCES10C002-00313,1784 Pratt Drive,1784 PRATT DR,41109358,1,6/15/2012,6/26/2012,"(30.005107869, -90.069939478999999)"
35,SDER (NOSD),DRCES10C002-00314,2 Alice Court,2 ALICE CT,41181715,1,6/12/2012,6/14/2012,"(29.961357961000001, -90.019745783000005)"
36,SDER (NOSD),DRCES10C002-00315,1638 Numa Street,1638 NUMA ST,41000825,1,6/13/2012,6/26/2012,"(29.937821323000001, -90.035832596999995)"
37,SDER (NOSD),DRCES10C002-00316,2839 Piety Street,2839 PIETY ST,41090641,1,6/8/2012,6/14/2012,"(29.986326953000098, -90.035407739999997)"
38,SDER (NOSD),DRCES10C002-00317,10900 Guilford Road,10900 GUILFORD RD,41113238,1,6/4/2012,6/11/2012,"(30.0435208920001, -89.972351760999999)"
39,SDER (NOSD),DRCES10C002-00318,4614 America Street,4614 AMERICA ST,41094312,1,7/6/2012,8/1/2012,"(30.017627668999999, -90.009765044999895)"
40,SDER (NOSD),DRCES10C002-00320,2319 Saint Roch Avenue,2319 ST ROCH AVE,41071920,1,7/5/2012,8/1/2012,"(29.9814322840001, -90.052794338999902)"
41,SDER (NOSD),DRCES10C002-00321,1135 Wagner Street,1135 WAGNER ST,41003580,1,6/20/2012,6/26/2012,"(29.943241459999999, -90.040054570999999)"
42,SDER (NOSD),DRCES10C002-00322,1309-11 Reynes Street,1309 REYNES ST,41124358,2,7/19/2012,7/25/2012,"(29.964839448000099, -90.021430269000007)"
43,SDER (NOSD),DRCES10C002-00323,1436 Teche Street,1436 TECHE ST,41002813,1,7/11/2012,7/12/2012,"(29.940409276, -90.051700930999999)"
44,SDER (NOSD),DRCES10C002-00324,3239-41 Metropolitan Street,3239 METROPOLITAN ST,41091407,2,7/19/2012,7/25/2012,"(29.990887105000098, -90.036034611999995)"
45,SDER (NOSD),DRCES10C002-00325,320 North Tonti Street,320 N TONTI ST,41018180,1,7/17/2012,7/19/2012,"(29.965252539000101, -90.081846389000006)"
46,SDER (NOSD),DRCES10C002-00326,6323 Painters Street,6323 PAINTERS ST,41072827,1,7/20/2012,7/25/2012,"(30.024229936000001, -90.052887126000002)"
47,FEMA,FEMA-0006,5917-19 Music Street,5917 MUSIC ST,41072576,2,2/29/2012,3/2/2012,"(30.0196315630001, -90.054710614000001)"
48,FEMA,FEMA-0018,6144 South Laverne Street,6144 S LAVERNE ST,41094470,1,1/16/2012,1/17/2012,"(30.020401463999999, -90.0188750679999)"
49,FEMA,FEMA-0025,4534 Camelot Drive,4534 CAMELOT DR,41099115,1,5/29/2012,5/29/2012,"(30.017411293000102, -89.982158581999997)"
50,FEMA,FEMA-0038,13053 Sevres Street,13053 SEVRES ST,41117366,1,2/3/2012,2/3/2012,"(30.033221233000098, -89.932055622999897)"
51,FEMA,FEMA-0044,6861 Cindy Place,6861 CINDY PL,41099365,10,3/1/2012,3/2/2012,"(30.031813056000001, -89.986770164000006)"
52,FEMA,FEMA-0059,2620 Myrtle Street,2620 MYRTLE ST,41109611,1,3/21/2012,3/21/2012,"(29.995113751000101, -90.049093649)"
53,FEMA,FEMA-0060,2735 Jonquil Street,2735 JONQUIL ST,41110681,1,3/22/2012,3/24/2012,"(29.998913817000101, -90.046782559999897)"
54,FEMA,FEMA-0062,5418 Pauline Drive,5418 PAULINE DR,41085940,1,2/23/2012,2/24/2012,"(30.016912428000101, -90.033780254999996)"
55,FEMA,FEMA-0073,4715-17 Pecan Street,4715 PECAN ST,41091762,2,2/24/2012,2/25/2012,"(30.016882314, -90.002857848999994)"
56,FEMA,FEMA-0077,7588 Forum Road,7588 FORUM BLVD,41116237,1,5/4/2012,5/4/2012,"(30.0682456810001, -89.943880206000003)"
57,FEMA,FEMA-0082,6873 Cindy Place,6873 CINDY PL,41099367,10,2/29/2012,2/1/2012,"(30.032078613000099, -89.986922124000003)"
58,FEMA,FEMA-0083,6842 Tara Lane,6842 TARA LN,41098600,5,2/27/2012,2/27/2012,"(30.0316401810001, -89.986166823999994)"
59,FEMA,FEMA-0084,6848 Tara Lane,6848 TARA LN,41098602,5,3/6/2012,3/7/2012,"(30.031792622000101, -89.986248879000001)"
60,FEMA,FEMA-0085,6847 Cindy Place,6847 CINDY PL,41099480,10,3/2/2012,3/3/2012,"(30.031533851000098, -89.986611964000005)"
61,FEMA,FEMA-0086,6852 Cindy Place,6852 CINDY PL,41099364,10,3/3/2012,3/6/2012,"(30.031615582000001, -89.987264128999996)"
62,FEMA,FEMA-0092,2001-03 Kerlerec Street,2001 KERLEREC ST,41080998,2,6/11/2012,6/12/2012,"(29.972831386000099, -90.0714401339999)"
63,FEMA,FEMA-0098,2314 Saint Philip Street,2314 ST PHILIP ST,41018395,1,3/27/2012,3/28/2012,"(29.970191788000101, -90.077036014000001)"
64,FEMA,FEMA-0109,1557-59 North Prieur Street,1557 N PRIEUR ST,41079616,2,3/24/2012,3/26/2012,"(29.974115484999999, -90.069015266999898)"
65,FEMA,FEMA-0111,1561 North Derbigny Street,1561 N DERBIGNY ST,41080461,1,5/17/2012,5/18/2012,"(29.973040835000099, -90.067263684999901)"
66,FEMA,FEMA-0117,9580 Stroelitz Street,9580 STROELITZ ST,41024095,1,5/22/2012,5/22/2012,"(29.975606175000099, -90.123773996999901)"
67,FEMA,FEMA-0119,2620-22 Castiglione Street,2620 CASTIGLIONE ST,41080233,2,5/28/2012,5/29/2012,"(29.983538774000099, -90.072531288999997)"
68,FEMA,FEMA-0120,3363 DeSaix Boulevard,3363 DESAIX BLVD,41080584,1,1/5/2012,1/6/2012,"(29.989222053999999, -90.081498908999905)"
69,FEMA,FEMA-0132,2004 Spain Street,2004 SPAIN ST,41062380,1,3/6/2012,3/6/2012,"(29.978059220999999, -90.054271888000002)"
70,FEMA,FEMA-0138,2057-59 Hope Street,2057 HOPE ST,41076449,2,5/25/2012,5/25/2012,"(29.984609441, -90.063196343999905)"
71,FEMA,FEMA-0145,2522 Eagle Street,2522 EAGLE ST,41027264,1,2/8/2012,2/9/2012,"(29.961953737000002, -90.12519494)"
72,FEMA,FEMA-0154,316 South Olympia Street,316 S OLYMPIA ST,41035274,1,5/21/2012,5/21/2012,"(29.975959087, -90.107650787999901)"
73,FEMA,FEMA-0155,4218-20 South Carrollton Avenue,4218 S CARROLLTON AVE,41035017,2,5/30/2012,6/1/2012,"(29.969931889000101, -90.105125110000003)"
74,FEMA,FEMA-0158,8339 Hickory Street,8339 HICKORY ST,41131684,1,5/19/2012,5/19/2012,"(29.953700864999998, -90.127668510999996)"
75,FEMA,FEMA-0159,8505 Hickory Street,8505 HICKORY ST,41133166,1,3/24/2012,3/26/2012,"(29.954535547999999, -90.128728754999898)"
76,FEMA,FEMA-0163,8724 Edinburgh Street,8724 EDINBURGH ST,41029454,1,6/5/2012,6/7/2012,"(29.968253987000001, -90.117743750000002)"
77,FEMA,FEMA-0168,538 South Dorgenois Street,538 S DORGENOIS ST,41031834,1,5/7/2012,5/7/2012,"(29.960170958999999, -90.089623708999994)"
78,FEMA,FEMA-0174,511 South Gayoso Street,511 S GAYOSO ST,41035901,1,6/18/2012,6/19/2012,"(29.964005787000101, -90.093974161999896)"
79,FEMA,FEMA-0176,2332 Second Street,2332 2ND ST,41037991,1,3/28/2012,3/28/2012,"(29.938656751000099, -90.088335201000007)"
80,FEMA,FEMA-0181,2817-19 South Johnson Street,2817 S JOHNSON ST,41039761,2,3/2/2012,3/5/2012,"(29.945567049000001, -90.097360178000002)"
81,FEMA,FEMA-0192,2968-70 Toledano Street,2968 TOLEDANO ST,41048304,2,3/30/2012,3/31/2012,"(29.942269959000001, -90.096903498000003)"
82,FEMA,FEMA-0205,1212-14 South Genois Street,1212 S GENOIS ST,41058200,2,2/15/2012,2/16/2012,"(29.958964784999999, -90.106045837999901)"
83,FEMA,FEMA-0210,1513-15 South White Street,1513 S WHITE ST,41039645,2,2/14/2012,2/15/2012,"(29.952563131000002, -90.100446864999995)"
84,FEMA,FEMA-0225,1632-34 North Claiborne Avenue,1632 N CLAIBORNE AVE,41063518,2,3/29/2012,3/30/2012,"(29.9726170120001, -90.0647076609999)"
85,FEMA,FEMA-0235,1232 Saint Ferdinand Street,1232 ST FERDINAND ST,41071232,1,1/10/2012,1/11/2012,"(29.970329112000101, -90.047825438000004)"
86,FEMA,FEMA-0254,2032-34 Independence Street,2032 INDEPENDENCE ST,41069990,2,1/13/2012,1/14/2012,"(29.976258423000001, -90.035169675999995)"
87,FEMA,FEMA-0255,2431 Alvar Street,2431 ALVAR ST,41066678,1,1/27/2012,1/30/2012,"(29.979852991000001, -90.031845437000001)"
88,FEMA,FEMA-0258,2124 Saint Roch Avenue,2124 ST ROCH AVE,41071876,1,5/14/2012,5/16/2012,"(29.9795701090001, -90.053352262999994)"
89,FEMA,FEMA-0261,2517-19 North Tonti Street,2517 N TONTI ST,41069832,2,2/3/2012,2/3/2012,"(29.981188311, -90.0514733159999)"
90,FEMA,FEMA-0264,3050 North Miro Street,3050 N MIRO ST,41071483,1,1/12/2012,1/12/2012,"(29.978969111000001, -90.041390628000002)"
91,FEMA,FEMA-0266,3032 North Miro Street,3032 N MIRO ST,41071480,1,1/11/2012,1/11/2012,"(29.979011644, -90.041561800999901)"
92,FEMA,FEMA-0267,2526 Touro Street,2526 TOURO ST,41074755,1,3/24/2012,3/26/2012,"(29.983303902999999, -90.060737665000005)"
93,FEMA,FEMA-0274,1822 Andry Street,1822 ANDRY ST,41116054,1,1/24/2012,1/24/2012,"(29.969550696999999, -90.016196043999997)"
94,FEMA,FEMA-0300,3434 Peoples Avenue,3434 PEOPLES AVE,41192321,1,1/16/2012,1/16/2012,"(29.994445251999998, -90.045337527000001)"
95,FEMA,FEMA-0341,7934-36 Leeds Street,7934 LEEDS ST,41101062,2,5/30/2012,5/31/2012,"(30.019037032, -89.994333146000002)"
96,FEMA,FEMA-0342,4920 Laine Avenue,4920 LAINE AVE,41101734,1,5/30/2012,5/30/2012,"(30.0228991870001, -89.991253133000001)"
97,FEMA,FEMA-0352,11731 Barrington Drive West,11731 W BARRINGTON DR,41112393,1,5/3/2012,5/3/2012,"(30.048243842000002, -89.964329527000004)"
98,FEMA,FEMA-0372,1300 Milton Street,1300 MILTON ST,41106055,1,3/5/2012,3/21/2012,"(29.9951519520001, -90.079969861999999)"
99,FEMA,FEMA-0379,6330 Lafaye Street,6330 LAFAYE ST,41073818,1,6/19/2012,6/21/2012,"(30.024536713, -90.050008271999999)"
100,FEMA,FEMA-0383,2255-57 Agriculture Street,2255 AGRICULTURE ST,41078449,2,5/8/2012,5/8/2012,"(29.988005305000101, -90.056586255999903)"
